Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation
30255,6,2006,Longbeach,1491082,Unnamed drain Windermere Road,690,day,Unnamed drain Peatlands,,58,13,inic
30256,6,2006,Longbeach,1491082,Unnamed drain Windermere Road,690, ,Unnamed drain Peatlands, ,57,13,inic
30261,11,2004,Waitaki River,1491128,Whitneys Creek tributary,711,day,Whitneys Creek tributary,,45,13,inic
30262,11,2004,Waitaki River,1491128,Whitneys Creek tributary,711,day,Whitneys Creek tributary,,45,12,inic
30263,11,2004,Waitaki River,1491128,Whitneys Creek tributary,711,day,Whitneys Creek tributary,,45,12,inic
30264,11,2004,Waitaki River,1491129,Waikakahi Stream tributary,711.01,day,Waikakahi Stream tributary,,43,13,inic
30265,11,2004,Waitaki River,1491132,Ryde Stream,711.01,day,Ryde Stream,,110,24,inic
30266,11,2004,Waitaki River,1491133,Redcliff Stream water race,711.01,day,Unnamed water race Pikes Point Rd,,80,25,inic
30268,11,2004,Longbeach,1491079,Unnamed water race Longbeach Road,690, ,Unnamed water race Longbeach Rd, ,32,5,inic
30269,11,2004,Longbeach,1491078,Unnamed water race Grahams Road 3,690, ,Unnamed water race Dawsons Rd, ,33,5,inic
30270,11,2006,Morven,1491124,Unnamed stream Morven 2,710,day,Sinclairs Creek,,25,8,inic
30271,11,2004,Morven,1491123,Unnamed stream Morven 1,710,day,Sinclairs Creek,,10,4,inic
30272,11,2004,Morven,1491125,Unnamed stream Morven 3,710.01, ,Broad Gully Stream, ,40,8,inic
30273,1,2006,St Andrews,1491106,Unnamed stream St Andrews,702,night,Unnamed stream St Andrews,,22,4,inic
30274,1,2006,St Andrews,1491106,Unnamed stream St Andrews,702,night,Unnamed stream St Andrews,,22,4,inic
30275,1,2006,St Andrews,1491106,Unnamed stream St Andrews,702,night,Unnamed stream St Andrews,,22,4,inic
30276,1,2006,St Andrews,1491106,Unnamed stream St Andrews,702,night,Unnamed stream St Andrews,,15,3,inic
30277,1,2006,St Andrews,1491106,Unnamed stream St Andrews,702,night,Unnamed stream St Andrews,,17,3,inic
30278,1,2006,St Andrews,1491106,Unnamed stream St Andrews,702,night,Unnamed stream St Andrews,,12,3,inic
30279,11,2005,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,day,Mounseys Stream tributary,,317,65,inic
30280,11,2005,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,night,Mounseys Stream tributary,,312,65,inic
30281,11,2006,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,night,Mounseys Stream tributary,,310,65,inic
30282,11,2005,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,night,Mounseys Stream tributary,,308,65,inic
30283,11,2004,Hook River,1491118,Waituna Stream,707.01,day,Waituna Stream,,70,13,inic
30284,11,2004,Longbeach,1491073,Unnamed stockwater race Grahams Road 1,690,day,Unnamed water race Waterton,,27,3,inic
30285,6,2006,Longbeach,1491074,Unnamed water race Grahams Road 2,690, ,Unnamed stockwater race Waterton, ,25,2,inic
30286,6,2006,Longbeach,1491074,Unnamed water race Grahams Road 2,690, ,Unnamed stockwater race Waterton, ,24,2,inic
30287,11,2004,Longbeach,1491074,Unnamed water race Grahams Road 2,690,day,Unnamed stockwater race Waterton,,23,1,inic
30288,11,2004,Longbeach,1491074,Unnamed water race Grahams Road 2,690,day,Unnamed stockwater race Waterton,,23,1,inic
30289,11,2004,Longbeach,1491074,Unnamed water race Grahams Road 2,690,day,Unnamed stockwater race Waterton,,22,1,inic
30290,6,2006,Longbeach,1491074,Unnamed water race Grahams Road 2,690, ,Unnamed stockwater race Waterton, ,26,1,inic
30291,6,2006,Longbeach,1491074,Unnamed water race Grahams Road 2,690, ,Unnamed stockwater race Waterton, ,10,1,inic
30292,6,2006,Longbeach,1491074,Unnamed water race Grahams Road 2,690, ,Unnamed stockwater race Waterton, ,15,0,inic
30293,11,2004,Longbeach,1491074,Unnamed water race Grahams Road 2,690,day,Unnamed stockwater race Waterton,,15,0,inic
30294,6,2006,Longbeach,1491074,Unnamed water race Grahams Road 2,690,night,Unnamed stockwater race Waterton,,22,1,inic
30295,12,2004,Avon River,1491029,Okeover Stream (Translocation),666,500,Okeover Stream (from L. Georgina), ,15,23,uoc
30296,8,2006,Selwyn River,1491056,Selwyn water race,680.04,day,Unnamed water race Hororata,,185,78,inic
30297,8,2006,Selwyn River,1491056,Selwyn water race,680.04,day,Unnamed lake Hororata,,193,79,inic
30298,8,2006,Selwyn River,1491056,Selwyn water race,680.04,day,Unnamed water race Hororata Domain,,195,79,inic
30423,6,2009,Waitaki River,1491139,Waitaki River tributary 2,711,night,Waitaki River tributary,,85,27,doc
30424,6,2009,Morven Drain,1491126,Dog Kennel Stream,710.02, ,Dog Kennel Stream, ,90,15,docc
30426,6,2009,Waitaki River,1491139,Waitaki River tributary 2,711,night,Waitaki River tributary,,85,27,docc
30427,6,2009,Waitaki River,1491139,Waitaki River tributary 2,711,night,Waitaki River tributary,,87,28,docc
30428,6,2009,Waitaki River,1491139,Waitaki River tributary 2,711,night,Waitaki River tributary,,87,28,docc
30436,7,2009,Waitaki River,1491135,Waitaki River tributary wetland 2,711,night,Waitaki River tributary,,25,8,docc
30832,7,2009,Selwyn River,1491042,Cordys Stream,680.04,1105,Cordys Stream,,180,77,docc
30836,8,2009,Selwyn River,1491057,Coalgate water race,680,1030,Selwyn River, ,147,62,docc
30837,8,2009,Selwyn River,1491057,Coalgate water race,680,954,Water race, ,145,63,docc
30838,8,2009,Selwyn River,1491057,Coalgate water race,680,1010,Water race,,140,62,docc
30839,8,2009,Selwyn River,1491057,Coalgate water race,680,940,Water race, ,145,64,docc
30840,8,2009,Selwyn River,1491057,Coalgate water race,680,945,Water race,,145,63,docc
30841,8,2009,Selwyn River,1491040,Hororata River tributary 6,680.04,1200,Hororata River tributary, ,165,72,docc
30929,9,2008,Woodend,1491004,Tutaepatu Lagoon,663,1130,Tutai Patu Lagoon, ,5,9,docc
30933,9,2009,Selwyn River,1491036,Hororata River tributary 2,680.04,1050,Hororata River tributary,,140,64,docc
30934,7,2005,Selwyn River,1491058,Selwyn River tributary 6,680.06,1100,Survey0rs Gully,,265,81,docc
30935,7,2005,Selwyn River,1491058,Selwyn River tributary 6,680.06,1132,Surveyors Gully, ,260,81,docc
30936,7,2005,Selwyn River,1491058,Selwyn River tributary 6,680,1200,Selwyn River,,255,80,docc
30944,5,2009,Lee River,1491066,Tent Burn,684.03,1500,Lee River Wetland, ,5,0,docc
30945,5,2009,Coopers Lagoon,1491066,Tent Burn,684.01,1430,Coopers Lagoon,,6,0,docc
30956,9,2008,Avon River,1491027,Avon River tributary wetland (Translocation),666,1400,Travis Wetland, ,5,7,docc
32820,12,1964,Hinds River,1491090,Hinds River North Branch tributary 1,691.01,day,North Branch Hinds River,,332,54,niwa
32821,,1968,Hinds River,1491090,Hinds River North Branch tributary 1,691.01,,North Branch Hinds River,,332,54,uoc
32822,,1968,Washdyke Creek,1491095,Waitawa Creek,698,,Waitawa Creek,,29,10,uoc
32823,,1968,Hook River,1491120,Waituna Stream ponds,707.01,,Waituna Stream tributary ponds,,52,11,uoc
32824,,1968,Hook River,1491120,Waituna Stream ponds,707,,Unnamed ponds,,52,11,uoc
32825,,1968,Waihao River,1491122,Buchanans Creek,709.011,,Buchanans Creek,,10,6,uoc
32826,,1968,Waitaki River,1491138,Waitaki River tributary 1,711,,Unnamed water race Ikawai,,78,24,uoc
32827,,1975,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,,Mounseys Stream tributary,,308,65,niwa
32828,,1975,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,,Mounseys Stream tributary,,310,65,niwa
32829,,1975,Selwyn River,1491036,Hororata River tributary 2,680.04,,Hororata River tributary,,140,64,niwa
32830,,1975,Selwyn River,1491036,Hororata River tributary 2,680.04,,Hororata River tributary,,140,64,niwa
32831,,1975,Selwyn River,1491036,Hororata River tributary 2,680.04,,Hororata River tributary,,140,64,niwa
32832,,1975,Hinds River,1491090,Hinds River North Branch tributary 1,691.01,,Hinds River North Branch,,331,54,niwa
32833,,1975,Hinds River,,Arundel Rakaia Gorge Road water race,691.01,,Hinds River North Branch,,276,47,niwa
32834,,1975,Hinds River,1491087,Hinds River tributary 3,691,,Hinds River,,236,41,niwa
32835,,1975,Hinds River,1491086,Hinds River tributary 2,691,,Hinds River,,218,39,niwa
32836,8,1975,Hinds River,1491085,Unnamed water race Barford Road,691,,Unnamed water race Clearwell,,194,35,niwa
32837,,1975,Longbeach,1491078,Unnamed water race Grahams Road 3,690,,Unnamed stream Beachcroft,,245,3,niwa
32838,,1975,Washdyke Creek,1491096,Rosewill Stream,698.02,,Rosewill Stream,,53,12,niwa
32839,6,1975,Waihao River,1491122,Buchanans Creek,709.011,,Buchanans Creek,,9,6,niwa
32840,8,1975,Waihao River,1491122,Buchanans Creek,709.011,,Buchanans Creek,,9,6,niwa
32841,5,1976,Waihao River,1491122,Buchanans Creek,709.011,,Buchanans Creek,,9,6,niwa
32842,,1975,Waitaki River,1491127,Whitneys Creek,711,,Whitneys Creek,,57,17,niwa
32843,,1926,Waimakariri River,1491009,Eyre River tributary 1,664.06,,Eyre River tributary,,257,56,indx
32849,2,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05, ,Waianiwaniwa River tributary, ,295,91,uoc
32850,2,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,292,91,uoc
32851,2,2007,Selwyn River,1491043,Hororata River 2,680.05,night,Hororata River,,191,79,uoc
32852,2,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,282,91,uoc
32853,2,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,275,90,uoc
32854,2,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05, ,Waianiwaniwa River tributary, ,275,90,uoc
32855,2,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,271,90,uoc
32856,2,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05, ,Waianiwaniwa River tributary, ,257,89,uoc
32857,2,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,249,88,uoc
32858,2,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,249,88,uoc
32859,2,2007,Selwyn River,1491047,Waianiwaniwa River,680.05,night,Waianiwaniwa River,,248,88,uoc
32860,2,2007,Selwyn River,1491047,Waianiwaniwa River,680.05,night,Waianiwaniwa River,,258,90,uoc
32861,2,2007,Selwyn River,1491054,Waianiwaniwa River tributary 7,680,night,Waianiwaniwa River tributary pond,,272,91,uoc
32862,2,2007,Selwyn River,1491047,Waianiwaniwa River,680,night,Waianiwaniwa River,,271,92,uoc
32863,2,2007,Selwyn River,1491050,Waianiwaniwa River tributary 4,680,night,Oyster Gully,,250,87,uoc
32865,7,2006,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05, ,Waianiwaniwa River tributary, ,271,90,uoc
32866,7,2006,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,275,90,uoc
32867,7,2006,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,272,90,uoc
32868,7,2006,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05, ,Waianiwaniwa River tributary, ,275,90,uoc
32869,7,2006,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05, ,Waianiwaniwa River tributary, ,275,90,uoc
32870,7,2006,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,281,91,uoc
32871,7,2006,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05, ,Waianiwaniwa River tributary, ,280,91,uoc
32872,7,2006,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,284,91,uoc
32873,7,2006,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05, ,Waianiwaniwa River tributary, ,293,91,uoc
32877,7,2006,Selwyn River,1491054,Waianiwaniwa River tributary 7,680.05,night,Waianiwaniwa River tributary,,270,91,uoc
32879,7,2006,Selwyn River,1491054,Waianiwaniwa River tributary 7,680.05, ,Waianiwaniwa River tributary, ,265,91,uoc
32880,7,2006,Selwyn River,1491054,Waianiwaniwa River tributary 7,680.05,night,Waianiwaniwa River tributary,,260,91,uoc
32881,7,2006,Selwyn River,1491047,Waianiwaniwa River,680.05,night,Waianiwaniwa River,,276,93,uoc
32882,7,2006,Selwyn River,1491047,Waianiwaniwa River,680.05, ,Waianiwaniwa River, ,271,92,uoc
32884,7,2006,Selwyn River,1491047,Waianiwaniwa River,680.05,night,Waianiwaniwa River,,258,90,uoc
32885,7,2006,Selwyn River,1491051,Waianiwaniwa River tributary 5,680.05,night,Waianiwaniwa River tributary,,255,87,uoc
32886,1,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05, ,Waianiwaniwa River tributary, ,295,91,uoc
32887,1,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,293,91,uoc
32888,1,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,281,91,uoc
32889,1,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,284,91,uoc
32890,1,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05, ,Waianiwaniwa River tributary, ,275,90,uoc
32891,1,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,275,90,uoc
32892,1,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05, ,Waianiwaniwa River tributary, ,271,90,uoc
32893,1,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,257,89,uoc
32894,1,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,249,88,uoc
32895,1,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,249,88,uoc
32896,1,2007,Selwyn River,1491047,Waianiwaniwa River,680.05,night,Waianiwaniwa River,,248,88,uoc
32897,1,2007,Selwyn River,1491047,Waianiwaniwa River,680.05,night,Waianiwaniwa River,,258,90,uoc
32898,1,2007,Selwyn River,1491054,Waianiwaniwa River tributary 7,680.05,night,Waianiwaniwa River tributary,,270,91,uoc
32899,1,2007,Selwyn River,1491054,Waianiwaniwa River tributary 7,680.05,night,Waianiwaniwa River tributary,,263,91,uoc
32900,1,2007,Selwyn River,1491047,Waianiwaniwa River,680.05,night,Waianiwaniwa River,,271,92,uoc
32901,1,2007,Selwyn River,1491051,Waianiwaniwa River tributary 5,680.05,night,Waianiwaniwa River tributary,,255,87,uoc
32902,1,2007,Selwyn River,1491050,Waianiwaniwa River tributary 4,680.05,night,Oyster Gully,,250,87,uoc
34053,8,2010,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,1000,Mounseys Stream tributary,,309,65,docc
34054,8,2009,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,1000,Mounseys Stream tributary,,309,65,docc
34065,7,2012,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,900,Mounseys Stream,,310,65,doc
34075,6,2013,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,1000,Mounseys Stream,,310,64,doc
34306,12,2010,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705,day,Horseshoe Bend Stream,,22,7,docc
34307,12,2010,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705,day,Horseshoe Bend Stream,,18,6,docc
34308,12,2010,Washdyke Creek,1491096,Rosewill Stream,698.02,1530,Rosewill Stream, ,54,13,docc
34310,12,2010,Washdyke Creek,1491100,Papaka Stream 2,698.02,1400,Papaka Stream,,56,15,docc
34312,8,2009,Hook River,1491116,Wainono Lagoon,707,day,Wainono Lagoon,,5,2,docc
34313,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704, ,Kohika Stream tributary, ,9,4,docc
34314,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704,,Kohika Stream tributary,,9,3,docc
34315,8,2009,Hook River,1491116,Wainono Lagoon,707,day,Wainono Lagoon,,5,2,docc
34316,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704,,Kohika Stream tributary,,9,3,docc
34317,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704,,Kohika Stream tributary,,9,3,docc
34318,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704,,Kohika Stream tributary,,9,3,docc
34319,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704,,Kohika Stream tributary,,9,3,docc
34320,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704, ,Kohika Stream tributary, ,9,3,docc
34321,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704, ,Kohika Stream tributary, ,9,3,docc
34322,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704, ,Kohika Stream tributary, ,9,3,docc
34323,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704, ,Kohika Stream tributary, ,9,3,docc
34324,1,2010,Kohika Stream,1491111,Horseshoe Bend Stream,704, ,Kohika Stream tributary, ,9,3,docc
34326,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704, ,Kohika Stream tributary, ,9,4,docc
34327,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704, ,Kohika Stream tributary, ,9,4,docc
34328,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704,1343,Kohika Stream tributary,,9,4,docc
34329,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704,1343,Kohika Stream tributary, ,9,4,docc
34330,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704,1315,Kohika Stream tributary,,8,4,docc
34331,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704,1315,Kohika Stream tributary,,9,4,docc
34332,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704,1343,Kohika Stream tributary,,9,4,docc
34333,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704,1343,Kohika Stream tributary, ,9,4,docc
34334,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704,1343,Kohika Stream tributary, ,9,4,docc
34335,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704, ,Kohika Stream tributary, ,9,4,docc
34336,1,2011,Kohika Stream,1491110,Kohika Stream,704, ,Kohika Stream tributary, ,10,4,docc
34337,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704,,Kohika Stream tributary,,10,4,docc
34338,1,2011,Kohika Stream,1491111,Horseshoe Bend Stream,704,,Kohika Stream tributary,,10,4,docc
34353,12,2010,Washdyke Creek,1491097,Papaka Stream 1,698.02,1430,Papaka Stream,,19,8,docc
34371,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01,1621,North Branch Hinds River tributary, ,438,63,docc
34372,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01,1620,North Branch Hinds River tributary, ,438,63,docc
34373,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01,day,North Branch Hinds River tributary,,438,63,docc
34374,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01,1619,North Branch Hinds River tributary,,438,63,docc
34375,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01,1632,North Branch Hinds River tributary, ,438,63,docc
34376,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01,1613,North Branch Hinds River tributary, ,437,63,docc
34377,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01,1554,North Branch Hinds River tributary, ,437,63,docc
34378,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01,1611,North Branch Hinds River tributary, ,437,63,docc
34379,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01,1610,North Branch Hinds River tributary, ,437,63,docc
34380,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01,1608,North Branch Hinds River tributary,,437,63,docc
34381,7,2011,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01,1608,North Branch Hinds River tributary, ,437,63,docc
34407,2,2008,Ashburton River,1491068,Ashburton River tributary drain,688,1450,Ashburton River tributary,,58,11,docc
34668,8,2011,Pegasus,1491003,Taranaki Stream tributary 1,663,1400,Tutai Patu Lagoon,,8,5,docc
34669,8,2011,Pegasus,1491003,Taranaki Stream tributary 1,663,1105,Tutai Patu Lagoon, , , ,docc
34670,8,2011,Pegasus,1491003,Taranaki Stream tributary 1,663,1125,Tutai Patu Lagoon, , , ,docc
34671,8,2011,Pegasus,1491002,Taranaki Stream tributary wetland (pre Pegasus town),663,1145,Tutai Patu Lagoon,,0,0,docc
34672,8,2011,Pegasus,1491003,Taranaki Stream tributary 1,663,1215,Unnamed stream Pegasus, ,8,5,docc
34673,8,2011,Pegasus,1491002,Taranaki Stream tributary wetland (pre Pegasus town),663,1245,Unnamed stream Pegasus,,0,0,docc
34674,6,2010,Selwyn River,1491038,Hororata River tributary 4,680.04,1125,Hororata River tributary, ,162,69,docc
34676,12,2010,Selwyn River,1491038,Hororata River tributary 4,680.04,1433,Hororata River tributary, ,150,67,docc
34677,12,2010,Selwyn River,1491038,Hororata River tributary 4,680.04,1316,Hororata River tributary, ,148,66,docc
34678,6,2011,Lee River,1491066,Tent Burn,684.03,923,Lee River,,7,1,docc
34679,6,2011,Lee River,1491066,Tent Burn,684.031,1100,Tent Burn,,7,1,docc
34684,9,2008,Selwyn River,1491056,Selwyn water race,680.04,1230,Hororata River tributary,,188,78,docc
35001,6,2012,Morven Drain,1491126,Dog Kennel Stream,710.02,,Dog Kennel Stream,,95,15,docc
35002,6,2012,Morven Drain,1491126,Dog Kennel Stream,710.02,,Dog Kennel Stream,,95,15,docc
35003,6,2012,Morven Drain,1491126,Dog Kennel Stream,710.02,,Dog Kennel Stream,,95,15,docc
35004,6,2012,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688,night,South Branch Ashburton River tributary,,155,35,docc
35005,6,2012,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688,night,South Branch Ashburton River,,155,35,docc
35006,6,2012,Waitaki River,1491135,Waitaki River tributary wetland 2,711,night,Waitaki River tributary,,25,9,docc
35007,5,2012,Selwyn River,1491038,Hororata River tributary 4,680.04,,Hororata River tributary,,155,70,docc
35008,5,2012,Selwyn River,1491038,Hororata River tributary 4,680.04,,Hororata River tributary,,150,70,docc
35009,5,2012,Avon River,1491030,Avon River pond (Translocation),666,,Unnamed pond,,22,22,docc
35010,5,2012,Waimakariri River,1491008,Unnamed ponds Waimakariri River tributary (Translocation),664.05,,Unnamed stream Waimakariri River,,30,20,docc
35011,5,2012,Selwyn River,1491037,Hororata River tributary 3,680.04,,Hororata River tributary,,142,70,docc
35012,5,2012,Selwyn River,1491038,Hororata River tributary 4,680.04, ,Hororata River tributary, ,148,70,docc
35013,5,2012,Selwyn River,1491038,Hororata River tributary 4,680.04, ,Hororata River tributary, ,147,70,docc
35014,5,2012,Avon River,1491027,Avon River tributary wetland (Translocation),666, ,Unnamed wetland, ,3,7,docc
35015,5,2012,Avon River,1491027,Avon River tributary wetland (Translocation),666, ,Unnamed wetland, ,3,7,docc
35016,5,2012,Avon River,1491027,Avon River tributary wetland (Translocation),666, ,Avon River, ,3,7,docc
50004,,,Waimakariri River,1491007,Cust River tributary,664.044,,Cust River tributary,,260,53,unk
50371,,1946,Waimakariri River,1491006,North Brook tributary,664.042,,Cam River,,25,18,unk
50395,2,1971,Woodend,1491004,Tutaepatu Lagoon,663,,Unnamed wetland,,4,9,unk
50459,,1975,Waimakariri River,1491010,Coopers Creek tributary,664.062,,Coopers Creek tributary,,270,58,niwa
50509,8,1962,Hinds River,1491083,Unnamed drain Maronan Valetta Road,691,,Unnamed irrigation race,,165,28,niwa
50512,11,1975,Hinds River,1491091,Hinds River North Branch tributary wetland 1,691.01,night,North Branch Hinds River tributary,,420,59,niwa
50556,11,1962,Hinds River,1491088,North Branch Hinds River,691.01, ,North Branch Hinds River, ,265,43,niwa
50609,,1975,Hinds River,1491084,Hinds River tributary 1,691,,Clearwell Springs,,195,33,niwa
50620,11,1977,Ashburton River,1491070,Ashburton River tributary 1,688,,Ashburton River tributary,,90,21,unk
50622,2,1939,Ashburton River,1491069,Carters Creek tributary,688,,Carters Creek tributary,,90,18,unk
50647,5,1947,Longbeach,1491076,Unnamed water race Bells Road,690,,Unnamed stream Eiffelton,,45,9,unk
50690,12,1976,Washdyke Creek,1491099,Papaka Stream tributary 2,698.02,,Papaka Stream tributary,,40,14,niwa
50705,12,1975,Pareora River,1491102,Pareora River tributary 2,701,,Pareora River tributary,,5,2,niwa
50711,12,1975,Pareora River,1491102,Pareora River tributary 2,701,,Pareora River tributary,,10,3,niwa
50714,12,1976,St Andrews,1491106,Unnamed stream St Andrews,702,,Unnamed stream St Andrews,,5,0,niwa
50715,5,1976,St Andrews,1491106,Unnamed stream St Andrews,702,,Unnamed stream St Andrews,,5,0,niwa
50720,4,1976,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705,,Horseshoe Bend Stream,,20,7,niwa
50721,12,1976,Horseshoe Bend Stream,1491111,Horseshoe Bend Stream,705,,Horseshoe Bend Stream,,20,7,niwa
50726,,1975,Hook River,1491120,Waituna Stream ponds,707.01,night,Unnamed pond,,50,19,niwa
50740,,1975,Morven Drain,1491126,Dog Kennel Stream,710.02,,Dog Kennel Stream,,80,15,niwa
50741,11,1975,Waitaki River,1491127,Whitneys Creek,711,night,Whitneys Creek,,45,12,niwa
50742,4,1976,Waitaki River,1491127,Whitneys Creek,711,,Whitneys Creek,,45,12,niwa
100165,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05,,Waianiwaniwa River,,320,97,uoc
100166,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05,,Waianiwaniwa River,,320,97,uoc
100167,1,2010,Selwyn River,1491055,Waianiwaniwa River tributary 8,680.05,,Waianiwaniwa River tributary,,300,95,chhf
100168,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05,,Waianiwaniwa River,,300,95,uoc
100169,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05,,Waianiwaniwa River tributary,,275,93,uoc
100170,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05,,Waianiwaniwa River tributary,,280,93,chhf
100171,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05,,Waianiwaniwa River tributary,,275,93,uoc
100172,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05,,Waianiwaniwa River,,270,92,uoc
100173,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05,,Waianiwaniwa River,,270,92,uoc
100176,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05,,Waianiwaniwa River,,260,91,uoc
100177,1,2010,Selwyn River,1491047,Waianiwaniwa River,680.05,,Waianiwaniwa River,,260,91,uoc
100178,1,2010,Selwyn River,1491054,Waianiwaniwa River tributary 7,680.05,,Waianiwaniwa River tributary,,310,93,uoc
100179,1,2010,Selwyn River,1491054,Waianiwaniwa River tributary 7,680.05,,Waianiwaniwa River tributary,,290,93,uoc
100180,1,2010,Selwyn River,1491054,Waianiwaniwa River tributary 7,680.05,,Waianiwaniwa River tributary,,280,92,uoc
100181,1,2010,Selwyn River,1491054,Waianiwaniwa River tributary 7,680.05,,Waianiwaniwa River tributary,,270,91,uoc
